Fonctionnalité,Composant,Tâche,Type,Priorité,État
,,Ajouter méthodes OAuth dans authService.js,Modification,Moyenne,À faire
9. Notifications Push,Backend,Ajouter dépendance firebase-admin,Configuration,Moyenne,À faire
,,Configurer Firebase credentials,Configuration,Moyenne,À faire
,,Créer modèle DeviceToken.java,Création,Moyenne,À faire
,,Créer modèle Notification.java,Création,Moyenne,À faire
,,Créer NotificationService.java,Création,Moyenne,À faire
,,Créer NotificationController.java,Création,Moyenne,À faire
,,Créer DeviceTokenRepository.java,Création,Moyenne,À faire
,,Créer NotificationRepository.java,Création,Moyenne,À faire
,,Intégrer notifications dans workflow réservations,Modification,Moyenne,À faire
,Base de données,Créer table Device_tokens,Création,Moyenne,À faire
,,Créer table Notifications,Création,Moyenne,À faire
,Frontend,"Ajouter dépendances Firebase (app, messaging)",Configuration,Moyenne,À faire
,,"Configurer Firebase (google-services.json, GoogleService-Info.plist)",Configuration,Moyenne,À faire
,,Créer service notificationService.js,Création,Moyenne,À faire
,,Créer écran Notifications.jsx,Création,Moyenne,À faire
,,Modifier App.tsx (initialisation Firebase),Modification,Moyenne,À faire
10. Litiges et Remboursements,Backend,Créer modèle Dispute.java,Création,Basse,À faire
,,Créer DisputeController.java,Création,Basse,À faire
,,Créer DisputeService.java,Création,Basse,À faire
,,Créer DisputeRepository.java,Création,Basse,À faire
,Base de données,Créer table Disputes,Création,Basse,À faire
,Frontend,Créer écran ReportIssue.jsx,Création,Basse,À faire
,,Créer écran MyDisputes.jsx,Création,Basse,À faire
,,Modifier écran ReservationList.jsx (bouton signaler),Modification,Basse,À faire
,,Créer service disputeService.js,Création,Basse,À faire
11. Fonctionnalités MVP Manquantes,Backend,Créer endpoint POST /api/auth/forgot-password,Création,Haute,À faire
,,Créer endpoint POST /api/auth/reset-password,Création,Haute,À faire
,,Créer service EmailService.java pour envoi emails,Création,Haute,À faire
,,Ajouter champ resetToken au modèle Users,Modification,Haute,À faire
,Base de données,Ajouter colonnes reset_token et reset_token_expiry à table Users,Modification,Haute,À faire
,Frontend,Créer écran ForgotPassword.jsx,Création,Haute,À faire
,,Créer écran ResetPassword.jsx,Création,Haute,À faire
,,Afficher carousel photos dans ParkingDetails.jsx,Modification,Haute,À faire
,,Ajouter lien "Mot de passe oublié" dans Login.jsx,Modification,Haute,À faire
